All Push-Up
[Archer Push-Up | (Bar)] [DIFF 6.1]
[Tuck Dip | (Bar)] [DIFF 3.0]
[Russian Dip | (Bar)] [DIFF 6.5]
[Bench Dip | Negative (Bench)] [DIFF 1.8]
[L-Sit Dip | Negative (Bar)] [DIFF 6.8]
[One-Arm Dip | Negative (Rings)] [DIFF 8.5]
[Korean Dip | Negative (Bar)] [DIFF 5.0]
[Straddle L-Sit Dip | (Bar)] [DIFF 7.5]

All Core
[Plank] [DIFF 1]
[Dead Bug] [DIFF 2]
[Side Plank] [DIFF 1.8]
[Hollow Body Hold] [DIFF 2.8]
[Hanging Knee Raise | (Bar)] [DIFF 3]
[Hanging Leg Raise | (Bar)] [DIFF 4.5]
[Ab Rollout | (Ab Wheel)] [DIFF 6.0]
[Toes-to-Bar | (Bar)] [DIFF 5]
[Dragon Flag | (Bench)] [DIFF 8]
[Crunch] [DIFF 1.0]
[Reverse Crunch] [DIFF 1.2]
[Bicycle Crunch] [DIFF 2]
[Flutter Kicks] [DIFF 1.5]
[Scissor Kicks] [DIFF 1.5]
[V-Up] [DIFF 3.5]
[Hollow Rock] [DIFF 2.8]
[Mountain Climbers] [DIFF 2]
[Russian Twist] [DIFF 2.5]
[Superman Hold] [DIFF 1.2]
[Bird Dog] [DIFF 1.5]
[Bear Plank] [DIFF 1.0]
[Plank | Hip Dip] [DIFF 1.8]
[Copenhagen Plank | (Bench)] [DIFF 4.5]
[Floor Windshield Wipers] [DIFF 4]
[Hanging Windshield Wipers | (Bar)] [DIFF 7.5]
[Pallof Press | (Band)] [DIFF 2]
[Plank | Stir the Pot | (Stability Ball)] [DIFF 4.5]
[Suitcase Crunch] [DIFF 2.5]
[Sprinter Sit-Up] [DIFF 2.5]
[Long Lever Plank] [DIFF 3.5]
[RKC Plank] [DIFF 3.5]
[Plank | Shoulder Tap] [DIFF 3]
[Plank | Leg Lift] [DIFF 2.5]
[Spiderman Plank] [DIFF 3.5]
[Ab Walkout] [DIFF 4]
[Ab Rollout | Standing (Ab Wheel)] [DIFF 9.5]
[Fallout | (Rings)] [DIFF 6.5]
[Toe-Touch Crunch] [DIFF 1.2]
[Oblique Crunch] [DIFF 1]
[Crunch | (Decline Bench)] [DIFF 2]
[Crunch | (Stability Ball)] [DIFF 1.0]
[McGill Curl-Up] [DIFF 2]
[Full Sit-Up] [DIFF 1.8]
[Butterfly Sit-Up] [DIFF 1.5]
[Janda Sit-Up] [DIFF 4]
[Single Leg Lowering] [DIFF 3]
[Arch Body Hold] [DIFF 1.5]
[Bodyweight Good Morning] [DIFF 3]
[Hanging Oblique Knee Raise | (Bar)] [DIFF 4]
[Woodchop | (Band)] [DIFF 2]
[V-Sit Hold] [DIFF 4.5]
[Kneeling Plank] [DIFF 1.0]
[Single Arm Plank] [DIFF 4.5]
[Reverse Plank] [DIFF 2]
[Table Top Bridge] [DIFF 1.8]
[Plank | Up-Down] [DIFF 3.5]
[Body Saw Plank | (Sliders)] [DIFF 4.2]
[Plank | Rock | (Sliders)] [DIFF 4.2]
[Plank | Jack] [DIFF 2]
[Side Plank | Hip Dip] [DIFF 2]
[Star Plank] [DIFF 4.5]
[Starfish Plank] [DIFF 4.5]
[Side Plank | Reach-Through] [DIFF 2.8]
[Hanging Tuck Hold | (Bar)] [DIFF 4]
[Hanging Hollow Hold | (Bar)] [DIFF 5]
[Double Leg Lowering] [DIFF 4.5]
[Hollow Body | Flutter Kicks] [DIFF 3]
[Side V-Up] [DIFF 3.5]
[Side Jackknife] [DIFF 3.5]
[Twisting V-Up] [DIFF 4.5]
[Oblique V-Up] [DIFF 3.5]
[Corkscrew] [DIFF 6]
[Around the World] [DIFF 5.5]
[Ball Pass | (Stability Ball)] [DIFF 3.5]
[Pike | (Stability Ball)] [DIFF 5.5]
[Ball Jackknife | (Stability Ball)] [DIFF 5.5]
[Knee Tuck | (Rings)] [DIFF 5.5]
[Reverse Hyperextension | (Bench)] [DIFF 2.5]
[Standing Oblique Crunch] [DIFF 1]
[Stomach Vacuum] [DIFF 2.5]
[Seated Knee Tuck Hold] [DIFF 2.5]
[Compression Hold] [DIFF 3.5]
[Bear Crawl] [DIFF 2.5]
[Superman Pull] [DIFF 2]
[Hollow-to-Arch Roll] [DIFF 3]
[Banana Roll] [DIFF 2.5]
[Tucked Dragon Flag | (Bench)] [DIFF 6.5]
[Plank to Downward Dog] [DIFF 1.8]
[Garhammer Raise | (Bar)] [DIFF 4]
[Seated Pike Leg Lifts] [DIFF 4]

All Combo
[Muscle-Up | Flow (Bar / Rings)] [DIFF 8]
[L-Sit Muscle-Up | Combo (Bar / Rings)] [DIFF 9]
[Muscle-Up | Dip Combo (Rings)] [DIFF 10]
[Muscle-Up | Archer Combo (Bar)] [DIFF 9]
[Supinated Muscle-Up | (Bar)] [DIFF 7]
[Close-Grip Muscle-Up | (Bar)] [DIFF 8]
[Wide-Grip Muscle-Up | (Wide Bar)] [DIFF 9]
[Neutral-Grip Muscle-Up | (Parallel Bars / Neutral Handles)] [DIFF 7]
[False-Grip Muscle-Up | (Bar)] [DIFF 7]
[Mixed-Grip Muscle-Up | (Bar)] [DIFF 8]
[Strict Muscle-Up | (Bar)] [DIFF 9]
[Kipping Muscle-Up | (Bar)] [DIFF 6]
[Chest-to-Bar Kipping Muscle-Up | (Bar)] [DIFF 7]
[Muscle-Up | Slow Negative (Bar / Rings)] [DIFF 8]
[Muscle-Up | Paused (Bar / Rings)] [DIFF 9]
[Typewriter Muscle-Up | (Wide Bar)] [DIFF 9]
[Muscle-Up | Tempo (Bar / Rings)] [DIFF 8]
[High-Pull Muscle-Up | (Bar)] [DIFF 8]
[Clapping Muscle-Up | (Bar)] [DIFF 10]
[360 Muscle-Up | (Bar)] [DIFF 10]
[Weighted Muscle-Up | (Bar)] [DIFF 9]
[Archer Muscle-Up | (Wide Bar)] [DIFF 10]
[One-Arm Muscle-Up | (Bar)] [DIFF 10]
[Tuck Muscle-Up | (Rings)] [DIFF 8]
[Strict Muscle-Up | (Rings)] [DIFF 10]
[L-Sit Muscle-Up | (Rings)] [DIFF 10]
[Kipping Muscle-Up | (Rings)] [DIFF 8]
[Weighted Muscle-Up | (Rings)] [DIFF 10]
[Behind-the-Neck Muscle-Up | (Bar)] [DIFF 9]
[Parallel Bar Muscle-Up | (Parallel Bars)] [DIFF 7]
[Low Bar Muscle-Up | (Low Bar / Rack / Smith)] [DIFF 5]
[Band-Assisted Muscle-Up | (Bar)] [DIFF 4]
[Double Muscle-Up | (Bar / Rings)] [DIFF 9]
[Muscle-Up | Front Lever (Bar)] [DIFF 10]
[Muscle-Up | Back Lever (Bar)] [DIFF 10]
[Muscle-Up | Handstand (Bar)] [DIFF 10]
[Muscle-Up | Negative + Kip (Bar)] [DIFF 7]
[Muscle-Up | Skin-the-Cat (Bar)] [DIFF 9]
[Muscle-Up | Top L-Sit (Bar)] [DIFF 9]
[Pull-Up → Muscle-Up → Dip | Chain (Bar)] [DIFF 9]
[Burpee Pull-Up | (Bar)] [DIFF 5]
[Inverted Row | Push-Up (Low Bar / Smith / Rings)] [DIFF 3]
[Ring Row | Ring Push-Up (Rings)] [DIFF 6]
[FL | Pull-Up (Bar)] [DIFF 10]
[Toes-to-Bar | L-Sit Hold (Bar)] [DIFF 7]
[L-Sit | Dip (Parallel Bars)] [DIFF 9]
[L-Sit | Press to Handstand (Parallettes)] [DIFF 10]
[Handstand Push-Up | Pike Push-Up (Wall / Parallettes)] [DIFF 8]
[Burpees | Combo (Floor)] [DIFF 4.5]

All Weighted
[Weighted Pull-Up (Dip belt + plates / weighted vest)] [DIFF 7]
[Weighted Chin-Up (Dip belt + plates / weighted vest)] [DIFF 7]
[Weighted Ring Pull-Up (Gymnastic rings + dip belt / weighted vest)] [DIFF 7.1]
[Weighted Neutral Grip Pull-Up (Neutral-grip attachment / V-bar + dip belt / weighted vest)] [DIFF 6.8]
[Weighted Pull-Up (+25% BW)] [DIFF 3.9]
[Weighted Pull-Up (+50% BW)] [DIFF 5.8]
[Weighted Pull-Up (+75% BW)] [DIFF 6.8]
[Weighted Pull-Up (+100% BW)] [DIFF 8.7]
[Weighted Pull-Up (+125% BW)] [DIFF 8.7]
[Weighted Pull-Up (+125%+ BW)] [DIFF 9.5]
[Weighted Chin-Up (+25% BW)] [DIFF 4]
[Weighted Chin-Up (+50% BW)] [DIFF 5.8]
[Weighted Chin-Up (+75% BW)] [DIFF 7]
[Weighted Chin-Up (+100% BW)] [DIFF 8.7]
[Weighted Chin-Up (+125% BW)] [DIFF 8.6]
[Weighted Chin-Up (+125%+ BW)] [DIFF 9.4]
[Weighted Neutral Grip Pull-Up (+25% BW)] [DIFF 4]
[Weighted Neutral Grip Pull-Up (+50% BW)] [DIFF 6]
[Weighted Neutral Grip Pull-Up (+75% BW)] [DIFF 7]
[Weighted Neutral Grip Pull-Up (+100% BW)] [DIFF 8.7]
[Weighted Neutral Grip Pull-Up (+125% BW)] [DIFF 8.6]
[Weighted Neutral Grip Pull-Up (+125%+ BW)] [DIFF 9.4]
[Weighted Push-Up (Weight plate / vest / bands)] [DIFF 4.6]
[Weighted Push-Up (+25% BW)] [DIFF 3.2]
[Weighted Push-Up (+50% BW)] [DIFF 5]
[Weighted Push-Up (+75% BW)] [DIFF 6]
[Weighted Push-Up (+100% BW)] [DIFF 7]
[Weighted Push-Up (+125% BW)] [DIFF 8.5]
[Weighted Push-Up (+125%+ BW)] [DIFF 9.2]
[Weighted Dip (+25% BW)] [DIFF 5.0]
[Weighted Dip (+50% BW)] [DIFF 6.6]
[Weighted Dip (+75% BW)] [DIFF 7.9]
[Weighted Dip (+100%+ BW)] [DIFF 8.5]
[Weighted Ring Dip (Gymnastic rings + dip belt / weighted vest)] [DIFF 8.8]
[Weighted Straight Bar Dip (Straight bar + dip belt / weighted vest)] [DIFF 9.8]
[Weighted L-Sit Dip (Parallel bars + dip belt / weighted vest)] [DIFF 8.7]
[Weighted Bench Dip (Bench / chair + weight plate / dumbbell)] [DIFF 5.2]
[Weighted Parallette Dip (Parallettes + dip belt / weighted vest)] [DIFF 6.0]
[Weighted Korean Dip (Parallel bars / low bar + dip belt)] [DIFF 9.8]
[Weighted Typewriter Dip (Parallel bars + dip belt / weighted vest)] [DIFF 7]
[Weighted Gironda Dip (V-bar dip station + dip belt / weighted vest)] [DIFF 7.5]
[Weighted Pull-Up (+10 kg)] [DIFF 4.2]
[Weighted Pull-Up (+20 kg)] [DIFF 5.5]
[Weighted Pull-Up (+30 kg)] [DIFF 6.8]
[Weighted Pull-Up (+40 kg)] [DIFF 7.9]
[Weighted Pull-Up (+50 kg)] [DIFF 8.8]
[Weighted Chin-Up (+10 kg)] [DIFF 4.2]
[Weighted Chin-Up (+20 kg)] [DIFF 5.4]
[Weighted Chin-Up (+30 kg)] [DIFF 6.7]
[Weighted Chin-Up (+40 kg)] [DIFF 7.8]
[Weighted Chin-Up (+50 kg)] [DIFF 8.7]
[Weighted Neutral Grip Pull-Up (+10 kg)] [DIFF 4.1]
[Weighted Neutral Grip Pull-Up (+20 kg)] [DIFF 5.3]
[Weighted Neutral Grip Pull-Up (+30 kg)] [DIFF 6.6]
[Weighted Neutral Grip Pull-Up (+40 kg)] [DIFF 7.7]
[Weighted Neutral Grip Pull-Up (+50 kg)] [DIFF 8.6]
[Weighted Dip (+10 kg)] [DIFF 4.5]
[Weighted Dip (+20 kg)] [DIFF 5.8]
[Weighted Dip (+30 kg)] [DIFF 7.2]
[Weighted Dip (+40 kg)] [DIFF 8.0]
[Weighted Dip (+50 kg)] [DIFF 8.7]
[Weighted Push-Up (+10 kg)] [DIFF 3.5]
[Weighted Push-Up (+20 kg)] [DIFF 4.8]
[Weighted Push-Up (+30 kg)] [DIFF 6.2]
[Weighted Push-Up (+40 kg)] [DIFF 7.5]
[Weighted Push-Up (+50 kg)] [DIFF 8.5]

All Squats
[Squat] [DIFF 1]
[Sumo Squat] [DIFF 2]
[Split Squat] [DIFF 3]
[Bulgarian Split Squat | (Bench)] [DIFF 5]
[Jump Squat] [DIFF 4]
[Sissy Squat | (Wall)] [DIFF 6]
[Shrimp Squat] [DIFF 8]
[Pistol Squat] [DIFF 8]
[Cossack Squat] [DIFF 5]
[Dragon Squat] [DIFF 8.5]
[Wall Sit | (Wall)] [DIFF 2]
[Hindu Squat] [DIFF 3]
[Baithak] [DIFF 3]
[Prisoner Squat] [DIFF 2]
[Overhead Squat] [DIFF 6]
[Hack Squat] [DIFF 3]
[Heel-Elevated Squat | (Wedge)] [DIFF 2]
[Curtsy Squat] [DIFF 4]
[Kang Squat] [DIFF 5]
[Skater Squat] [DIFF 6]
[Airborne Lunge] [DIFF 6]
[Single-Leg Box Squat | (Box)] [DIFF 5]
[Deep Squat Hold] [DIFF 2]
[Duck Walk] [DIFF 4]
[Squat Pulse] [DIFF 2]
[Box Squat | (Box)] [DIFF 2]
[Squat | Paused] [DIFF 4]
[Close Stance Squat] [DIFF 4]
[Frog Squat] [DIFF 3]
[Jefferson Squat] [DIFF 4]
[Split Squat Jump] [DIFF 5]
[Scissor Jump] [DIFF 5]
[Split Squat | Isometric] [DIFF 3]
[Pistol Squat | Eccentric] [DIFF 6]
[Broad Jump] [DIFF 4]
[Squat | Tempo] [DIFF 4]
[1.5-Rep Squat] [DIFF 4]
[Spanish Squat | (Band)] [DIFF 3]
[Zombie Squat] [DIFF 5]
[Goblet Squat | (Kettlebell)] [DIFF 3]
[Landmine Squat | (Barbell)] [DIFF 3]
[Banded Squat | (Band)] [DIFF 3]
[Double KB Front Squat | (Kettlebell)] [DIFF 6]
[Zercher Squat | (Barbell)] [DIFF 6]
[Bulgarian Split Squat | (Dumbbell)] [DIFF 7]
[High Bar Back Squat | (Barbell)] [DIFF 7]
[Low Bar Back Squat | (Barbell)] [DIFF 8]
[Front Squat | (Barbell)] [DIFF 8]
[Safety Bar Squat | (Barbell)] [DIFF 7]
[Overhead Squat | (Barbell)] [DIFF 9]
[Slav Squat] [DIFF 2]
[Asian Squat] [DIFF 2]
[ATG Squat] [DIFF 3]
[Cyclist Squat | (Wedge)] [DIFF 3]
[ATG Split Squat | (Plate)] [DIFF 5]
[Single-Leg Wall Sit | (Wall)] [DIFF 6]
[Belt Squat | (Belt)] [DIFF 4]
[Hatfield Squat | (Barbell)] [DIFF 6]
[Bear Hug Squat | (Sandbag)] [DIFF 4]
[Overhead Squat | (Kettlebell)] [DIFF 7]
[Trap Bar Squat | (Trap Bar)] [DIFF 5]
[Half Squat] [DIFF 2]
[Quarter Squat] [DIFF 1]
[Reactive Jump Squat] [DIFF 6]
[Bulgarian Split Squat | Jump (Bench)] [DIFF 8]

All Isometric
[Tuck EL] [DIFF 2.2]
[Straddle EL] [DIFF 3.2]
[One-Leg EL] [DIFF 3.6]
[Elbow Lever] [DIFF 4.0]
[EL | Reverse Grip] [DIFF 4.8]
[EL | Fingertip] [DIFF 5.5]
[One-Arm Tuck EL] [DIFF 5.0]
[One-Arm Straddle EL] [DIFF 6.3]
[One-Arm EL] [DIFF 7.6]
[Tuck EL | (Parallettes)] [DIFF 2.0]
[Straddle EL | (Parallettes)] [DIFF 3.0]
[One-Leg EL | (Parallettes)] [DIFF 3.6]
[Elbow Lever | (Parallettes)] [DIFF 4.0]
[One-Arm Tuck EL | (Parallettes)] [DIFF 5.0]
[One-Arm Straddle EL | (Parallettes)] [DIFF 6.3]
[One-Arm EL | (Parallettes)] [DIFF 7.6]
[Tuck L-sit] [DIFF 2.5]
[One-Leg L-sit] [DIFF 3.0]
[Straddle L-sit] [DIFF 3.2]
[L-sit] [DIFF 4.0]
[N-sit] [DIFF 5.5]
[V-sit] [DIFF 7.0]
[Manna] [DIFF 9.5]
[Tuck L-sit | (Parallettes)] [DIFF 2.2]
[V-sit | (Parallettes)] [DIFF 6.8]
[Tuck L-sit | (Dip Bars)] [DIFF 2.3]
[One-Leg L-sit | (Dip Bars)] [DIFF 2.7]
[Straddle L-sit | (Dip Bars)] [DIFF 2.9]
[L-sit | (Dip Bars)] [DIFF 3.7]
[L-sit | (Rings)] [DIFF 4.5]
[V-sit | (Rings)] [DIFF 7.5]
[Tuck EL | (Rings)] [DIFF 4.4]
[One-Leg EL | (Rings)] [DIFF 5.6]
[Straddle EL | (Rings)] [DIFF 6.1]
[Elbow Lever | (Rings)] [DIFF 7.5]
[One-Arm Tuck EL | (Rings)] [DIFF 8.0]
[One-Arm Straddle EL | (Rings)] [DIFF 9.1]
[One-Arm EL | (Rings)] [DIFF 9.7]
[Passive Dead Hang (Bar)] [DIFF 1.0]
[Active Dead Hang (Bar)] [DIFF 2.3]
[Mixed Grip Dead Hang (Bar)] [DIFF 1.6]
[Towel Dead Hang (Bar)] [DIFF 3.2]
[Fingertip Dead Hang (Bar)] [DIFF 4.8]
[Dead Hang | (Rings)] [DIFF 2.9]
[One-Arm Dead Hang (Bar)] [DIFF 5.4]
[Tuck Flag] [DIFF 5.8]
[One-Leg Flag] [DIFF 7.0]
[Straddle Flag] [DIFF 8.1]
[Human Flag] [DIFF 9.2]
[Support Hold (Dip Bars)] [DIFF 1.8]
[Support Hold (Parallettes)] [DIFF 2.0]
[Support Hold (Rings)] [DIFF 3.5]
[Iron Cross (Rings)] [DIFF 9.8]
[EL | Reverse Grip (Parallettes)] [DIFF 4.6]
[EL | Fingertip (Parallettes)] [DIFF 5.4]
[Weighted Dead Hang (Bar)] [DIFF 3.6]
[Flexed-Arm Hang (Bar)] [DIFF 5.0]
[Rope Dead Hang (Rope)] [DIFF 3.0]
[Human Flag | Reverse Grip] [DIFF 9.4]
[One-Arm Support Hold (Parallettes)] [DIFF 7.4]
[One-Arm Support Hold (Rings)] [DIFF 8.8]
[Support Scale (Rings)] [DIFF 4.3]
[One-Arm Tuck L-sit | (Dip Bars)] [DIFF 6.3]
[One-Arm L-sit | (Dip Bars)] [DIFF 8.3]
[Manna | (Rings)] [DIFF 9.9]

All Epic
[Tuck BL | (Parallettes)] [DIFF 6]
[Tuck FL | (Bar)] [DIFF 5.3]
[Advanced Tuck FL | (Bar)] [DIFF 6.9]
[One Leg FL | (Bar)] [DIFF 8.2]
[Straddle FL | (Bar)] [DIFF 8.3]
[Half Lay FL | (Bar)] [DIFF 9.2]
[Front Lever | (Bar)] [DIFF 10.5]
[Wide Grip FL | (Bar)] [DIFF 11.2]
[Close Grip FL | (Bar)] [DIFF 9.5]
[Reverse Grip FL | (Bar)] [DIFF 9.8]
[One Arm FL | (Bar)] [DIFF 14.4]
[Tuck FL Row | (Bar)] [DIFF 7.2]
[Advanced Tuck FL Row | (Bar)] [DIFF 8.2]
[Straddle FL Row | (Bar)] [DIFF 9.6]
[Front Lever Row | (Bar)] [DIFF 11.1]
[Tuck FL Pull-Up | (Bar)] [DIFF 8.2]
[Advanced Tuck FL Pull-Up | (Bar)] [DIFF 9.2]
[Straddle FL Pull-Up | (Bar)] [DIFF 11.2]
[Front Lever Pull-Up | (Bar)] [DIFF 12.4]
[Negative Front Lever | (Bar)] [DIFF 10.1]
[Ice Cream Maker | (Bar)] [DIFF 10.4]
[Handstand Walk | (Wall)] [DIFF 2]
[Handstand | (Wall)] [DIFF 4.0]
[Kick to Handstand | (Wall)] [DIFF 3.3]
[Tuck Handstand] [DIFF 4.5]
[Handstand] [DIFF 6.5]
[Negative Handstand Push-Up | (Wall)] [DIFF 5.6]
[Handstand Push-Up | (Wall)] [DIFF 5.9]
[Deficit Handstand Push-Up | (Parallettes)] [DIFF 7.9]
[Handstand Push-Up] [DIFF 9.2]
[Handstand Walk] [DIFF 5]
[Press to Handstand] [DIFF 7.8]
[Handstand Pirouette] [DIFF 6.6]
[One-Arm Handstand] [DIFF 9.4]
[Fingertip Handstand | (Wall)] [DIFF 5.8]
[Fingertip Handstand] [DIFF 8]
[Fingertip Handstand Push-Up | (Wall)] [DIFF 8.4]
[Deficit Fingertip Handstand Push-Up | (Parallettes)] [DIFF 9.5]
[Fingertip Handstand Push-Up] [DIFF 9.7]
[One-Arm Handstand | (Wall)] [DIFF 8]
[One-Arm Fingertip Handstand] [DIFF 10]
[One-Arm Handstand Push-Up | (Wall)] [DIFF 9.5]
[One-Arm Fingertip Handstand Push-Up | (Parallettes)] [DIFF 10]
[Straddle Handstand] [DIFF 4]
[Split Handstand] [DIFF 5.4]
[Arch Handstand] [DIFF 3.6]
[Stag Handstand] [DIFF 5]
[One-Leg Handstand] [DIFF 5.3]
[Handstand Jump] [DIFF 5.1]
[Handstand Cartwheel] [DIFF 5.5]
[Tiger Bend Handstand] [DIFF 8.6]
[One-Arm Fingertip Handstand] [DIFF 10]
[One-Arm Fingertip Handstand Push-Up | (Parallettes)] [DIFF 10]
[Wall Push-Up | Pseudo Planche] [DIFF 1.3]
[Knee Push-Up | Pseudo Planche] [DIFF 2.8]
[Incline Push-Up | Knee, Pseudo Planche] [DIFF 1.5]
[Incline Push-Up | Pseudo Planche] [DIFF 1.8]
[Pseudo Planche Push-Up] [DIFF 4.5]
[Pseudo Planche Push-Up | Straddle] [DIFF 4.8]
[Pseudo Planche Push-Up | Negative] [DIFF 5.0]
[Pseudo Planche Push-Up | Pause] [DIFF 5.2]
[Pseudo Planche Push-Up | One Leg] [DIFF 5.3]
[Pseudo Planche Push-Up | Deficit] [DIFF 5.5]
[Decline Push-Up | Knee, Pseudo Planche] [DIFF 5.5]
[Decline Push-Up | Pseudo Planche] [DIFF 5.8]
[Planche Lean] [DIFF 4.6]
[Tuck Planche] [DIFF 6.0]
[Advanced Tuck Planche] [DIFF 7.0]
[Advanced Tuck Planche | One Leg] [DIFF 7.5]
[Half Lay Planche] [DIFF 7.8]
[Half Lay Planche | Straddle] [DIFF 8.0]
[Banana Planche] [DIFF 8.1]
[Banana Planche | Straddle] [DIFF 8.3]
[Straddle Planche] [DIFF 8.5]
[Triangle Planche] [DIFF 8.8]
[Triangle Planche | Straddle] [DIFF 8.9]
[Full Planche] [DIFF 9.5]
[Tuck Planche Push-Up] [DIFF 7.5]
[Tuck Planche Push-Up | Negative] [DIFF 7.8]
[Tuck Planche Push-Up | Pause] [DIFF 7.9]
[Advanced Tuck Planche Push-Up] [DIFF 8.3]
[Advanced Tuck Planche Push-Up | Negative] [DIFF 8.6]
[Advanced Tuck Planche Push-Up | Pause] [DIFF 8.7]
[Straddle Planche Push-Up | Negative] [DIFF 9.6]
[Straddle Planche Push-Up | Pause] [DIFF 9.7]
[Pseudo Planche Push-Up | (Parallettes)] [DIFF 4.3]
[Pseudo Planche Push-Up | Straddle, (Parallettes)] [DIFF 4.6]
[Pseudo Planche Push-Up | Negative, (Parallettes)] [DIFF 4.8]
[Pseudo Planche Push-Up | Pause, (Parallettes)] [DIFF 5.0]
[Pseudo Planche Push-Up | One Leg, (Parallettes)] [DIFF 5.1]
[Planche Lean | (Parallettes)] [DIFF 4.3]
[Tuck Planche | (Parallettes)] [DIFF 5.7]
[Advanced Tuck Planche | (Parallettes)] [DIFF 6.7]
[Advanced Tuck Planche | One Leg, (Parallettes)] [DIFF 7.2]
[Half Lay Planche | (Parallettes)] [DIFF 7.5]
[Half Lay Planche | Straddle, (Parallettes)] [DIFF 7.7]
[Banana Planche | (Parallettes)] [DIFF 7.8]
[Banana Planche | Straddle, (Parallettes)] [DIFF 8.0]
[Straddle Planche | (Parallettes)] [DIFF 8.2]
[Triangle Planche | (Parallettes)] [DIFF 8.5]
[Triangle Planche | Straddle, (Parallettes)] [DIFF 8.6]
[Full Planche | (Parallettes)] [DIFF 9.2]
[Tuck Planche Push-Up | (Parallettes)] [DIFF 7.3]
[Tuck Planche Push-Up | Negative, (Parallettes)] [DIFF 7.6]
[Tuck Planche Push-Up | Pause, (Parallettes)] [DIFF 7.7]
[Advanced Tuck Planche Push-Up | (Parallettes)] [DIFF 8.1]
[Advanced Tuck Planche Push-Up | Negative, (Parallettes)] [DIFF 8.4]
[Advanced Tuck Planche Push-Up | Pause, (Parallettes)] [DIFF 8.5]
[Pseudo Planche Push-Up | (Bar)] [DIFF 4.8]
[Pseudo Planche Push-Up | Straddle, (Bar)] [DIFF 5.0]
[Pseudo Planche Push-Up | Negative, (Bar)] [DIFF 5.2]
[Pseudo Planche Push-Up | Pause, (Bar)] [DIFF 5.4]
[Pseudo Planche Push-Up | One Leg, (Bar)] [DIFF 5.5]
[Planche Lean | (Bar)] [DIFF 4.7]
[Tuck Planche | (Bar)] [DIFF 6.1]
[Advanced Tuck Planche | (Bar)] [DIFF 7.0]
[Advanced Tuck Planche | One Leg, (Bar)] [DIFF 7.5]
[Half Lay Planche | (Bar)] [DIFF 7.8]
[Half Lay Planche | Straddle, (Bar)] [DIFF 8.0]
[Banana Planche | (Bar)] [DIFF 8.1]
[Banana Planche | Straddle, (Bar)] [DIFF 8.3]
[Straddle Planche | (Bar)] [DIFF 8.5]
[Triangle Planche | (Bar)] [DIFF 8.8]
[Triangle Planche | Straddle, (Bar)] [DIFF 8.9]
[Full Planche | (Bar)] [DIFF 9.5]
[Tuck Planche Push-Up | (Bar)] [DIFF 7.6]
[Tuck Planche Push-Up | Negative, (Bar)] [DIFF 7.9]
[Tuck Planche Push-Up | Pause, (Bar)] [DIFF 8.0]
[Advanced Tuck Planche Push-Up | (Bar)] [DIFF 8.4]
[Planche Lean | (Rings)] [DIFF 5.2]
[Tuck Planche | (Rings)] [DIFF 6.5]
[Advanced Tuck Planche | (Rings)] [DIFF 7.5]
[Straddle Planche | (Rings)] [DIFF 9.0]
[Full Planche | (Rings)] [DIFF 10.5]
[Tuck Planche Push-Up | (Rings)] [DIFF 8.0]
[Tuck Planche Push-Up | Negative, (Rings)] [DIFF 8.3]
[Advanced Tuck Planche Push-Up | (Rings)] [DIFF 8.8]
[Pseudo Planche Push-Up | Fingertip] [DIFF 5.2]
[Planche Lean | Fingertip] [DIFF 5.1]
[Tuck Planche | Fingertip] [DIFF 6.5]
[Advanced Tuck Planche | Fingertip] [DIFF 7.5]
[Straddle Planche | Fingertip] [DIFF 9.0]
[Full Planche | Fingertip] [DIFF 10.0]
[Tuck Planche Push-Up | Fingertip] [DIFF 8.3]
[Tuck Planche | 3-Finger] [DIFF 7.2]
[Straddle Planche | 3-Finger] [DIFF 9.5]
[Full Planche | 3-Finger] [DIFF 10.5]
[Straddle Planche | 2-Finger] [DIFF 11.0]
[Planche Lean | Fingertip, (Parallettes)] [DIFF 5.0]
[Tuck Planche | Fingertip, (Parallettes)] [DIFF 6.4]
[Advanced Tuck Planche | Fingertip, (Parallettes)] [DIFF 7.4]
[Planche Lean | 3-Finger, (Parallettes)] [DIFF 5.3]
[Tuck Planche | 3-Finger, (Parallettes)] [DIFF 7.5]
[Advanced Tuck Planche | 3-Finger, (Parallettes)] [DIFF 8.2]
[Straddle Planche | 3-Finger, (Parallettes)] [DIFF 10.5]
[Straddle Planche | 2-Finger, (Parallettes)] [DIFF 11.2]
[Advanced Tuck Planche Push-Up | Negative, (Bar)] [DIFF 8.7]
[Advanced Tuck Planche Push-Up | Pause, (Bar)] [DIFF 8.8]
[Advanced Tuck Planche | One Leg, (Rings)] [DIFF 8.2]
[Half Lay Planche | (Rings)] [DIFF 8.3]
[Half Lay Planche | Straddle, (Rings)] [DIFF 8.5]
[Banana Planche | (Rings)] [DIFF 8.6]
[Banana Planche | Straddle, (Rings)] [DIFF 8.8]
[Triangle Planche | (Rings)] [DIFF 9.3]
[Triangle Planche | Straddle, (Rings)] [DIFF 9.4]
[Tuck Planche Push-Up | Pause, (Rings)] [DIFF 8.2]
[Advanced Tuck Planche Push-Up | Negative, (Rings)] [DIFF 9.0]
[Advanced Tuck Planche Push-Up | Pause, (Rings)] [DIFF 9.1]
[Advanced Tuck Planche Push-Up | Fingertip] [DIFF 9.2]
[Advanced Tuck Planche | 3-Finger] [DIFF 8.0]
